scan_mode,scan_order,ptcone_max,etcone_max,is_nominal_scan_point,delta_ptcone_from_nominal,delta_etcone_from_nominal,distance_to_nominal,OS_sig_eff,OS_Data,OS_Signal,OS_Background,OS_Data/MC,OS_S/B,SS_Data,SS_rejection,sigma_defined,sigma_error,extra_bkg_none,sigma_pb_none,sigma_shift_pb_none,sigma_abs_shift_pb_none,sigma_frac_shift_none,epsilon_none,extra_bkg_wrong_flavour,sigma_pb_wrong_flavour,sigma_shift_pb_wrong_flavour,sigma_abs_shift_pb_wrong_flavour,sigma_frac_shift_wrong_flavour,epsilon_wrong_flavour,extra_bkg_wrong_charge,sigma_pb_wrong_charge,sigma_shift_pb_wrong_charge,sigma_abs_shift_pb_wrong_charge,sigma_frac_shift_wrong_charge,epsilon_wrong_charge,extra_bkg_both_average,sigma_pb_both_average,sigma_shift_pb_both_average,sigma_abs_shift_pb_both_average,sigma_frac_shift_both_average,epsilon_both_average
local_box,0,2.5,7.25,False,-2.0,-2.0,2.8284271247461903,0.9734254730488836,24127113.0,23909047.72477545,74815.77169444872,1.0059727451146971,319.57229315793427,3082.0,0.6419193679563147,True,,0.0,2234.608780293655,-13.726236880230317,13.726236880230317,0.006105067427844423,0.3517494632280575,16063.388916239674,2233.11639038242,-13.438425383021695,13.438425383021695,0.005981792782760558,0.3517494632280575,1759.2020829140715,2234.4453393501494,-13.608259470349822,13.608259470349822,0.006053351876258536,0.3517494632280575,8911.295499576872,2233.7808648662844,-13.523342426686213,13.523342426686213,0.006017584260644441,0.3517494632280575
local_box,1,2.5,8.25,False,-2.0,-1.0,2.23606797749979,0.9764179869532964,24207826.0,23982549.14808787,75064.74836080268,1.0062438487955574,319.4915012945155,3172.0,0.6314627628674334,True,,0.0,2235.2128788624354,-13.122138311449817,13.122138311449817,0.005836380348665341,0.35283080672636097,16253.24328266376,2233.7074781685683,-12.84733759687333,12.84733759687333,0.005718684230055616,0.35283080672636097,1825.9643381562028,2235.043755203001,-13.009843617498063,13.009843617498063,0.005787159000267619,0.35283080672636097,9039.60381040998,2234.3756166857847,-12.928590607185924,12.928590607185924,0.005752933032043438,0.35283080672636097
local_box,2,2.5,9.25,False,-2.0,0.0,2.0,0.9782156642202238,24261320.0,24026703.274683807,75217.67141203953,1.0066135414791482,319.42896959766864,3228.0,0.6249564308121296,True,,0.0,2236.0366569223897,-12.298360251495524,12.298360251495524,0.005469985637173561,0.3534804016993915,16451.27455984783,2234.515714462654,-12.039101302787458,12.039101302787458,0.0053589172266359855,0.3534804016993915,1873.7011036840909,2235.863430735259,-12.190168085240202,12.190168085240202,0.0054225433466693574,0.3534804016993915,9162.48783176596,2235.1895725989566,-12.114634694014057,12.114634694014057,0.00539074089511315,0.3534804016993915
local_box,3,2.5,10.25,False,-2.0,1.0,2.23606797749979,0.9792834334867988,24299409.0,24052929.57249542,75308.38941844886,1.007094220405001,319.39243101915275,3267.0,0.6204252352736145,True,,0.0,2237.107737781919,-11.227279391966476,11.227279391966476,0.00499359717577986,0.35386624267356653,16568.54242354956,2235.5776239438037,-10.977191821637916,10.977191821637916,0.0048862336875131135,0.35386624267356653,1910.2545279280876,2236.931324744925,-11.122274075574296,11.122274075574296,0.004947512853523551,0.35386624267356653,9239.398475738824,2236.2544743443646,-11.049732948606106,11.049732948606106,0.004916883487668211,0.35386624267356653
local_box,4,2.5,11.25,False,-2.0,2.0,2.8284271247461903,0.9798708741740996,24328002.0,24067358.152614817,75364.08470506653,1.0076743525795824,319.34784648153277,3314.0,0.6149645637271988,True,,0.0,2238.4004281129237,-9.93458906096157,9.93458906096157,0.004418642677837737,0.35407851576865684,16639.49214976449,2236.8646832737327,-9.690132491708937,9.690132491708937,0.004313330092685646,0.35407851576865684,1953.1124067443807,2238.2201652616286,-9.833433558870638,9.833433558870638,0.004374198891000646,0.35407851576865684,9296.302278254436,2237.5424242676804,-9.761783025290242,9.761783025290242,0.004343774640572122,0.35407851576865684
local_box,5,3.5,7.25,False,-1.0,-2.0,2.23606797749979,0.9852813023734924,24514062.0,24200247.818657346,76248.38076824244,1.009785835592701,317.38703923712416,3805.0,0.5579179737423028,True,,0.0,2243.1057742103308,-5.229242963554498,5.229242963554498,0.002325829079568203,0.35603359821948355,17654.06451403157,2241.4853366567904,-5.069479108651194,5.069479108651194,0.0022565570504114014,0.35603359821948355,2355.5240085282107,2242.889564534726,-5.164034285773141,5.164034285773141,0.0022971135067609547,0.35603359821948355,10004.794261279889,2242.1874505957585,-5.116756697212168,5.116756697212168,0.0022768420406134716,0.35603359821948355
local_box,6,3.5,8.25,False,-1.0,-1.0,1.4142135623730951,0.9883310740420409,24596744.0,24275155.593717523,76507.48346830416,1.0100642375856366,317.2912569235706,3914.0,0.5452538631346578,True,,0.0,2243.7261591389915,-4.6088580348937285,4.6088580348937285,0.002049898257905966,0.35713563051454644,17901.39429197657,2242.088089914378,-4.466725851063529,4.466725851063529,0.001988255892853269,0.35713563051454644,2438.9093688328494,2243.50298644565,-4.550612374849152,4.550612374849152,0.0020242454971877676,0.35713563051454644,10170.15183040471,2242.795538180014,-4.508669112956795,4.508669112956795,0.0020062566956112237,0.35713563051454644
local_box,7,3.5,9.25,False,-1.0,0.0,1.0,0.9901589586826133,24651435.0,24320051.66672653,76663.40723333675,1.0104407468492351,317.2315521107058,3985.0,0.5370047635645405,True,,0.0,2244.5651491612434,-3.7698680126418367,3.7698680126418367,0.0016767376675832278,0.357796140994175,18117.643134008664,2242.9103525518235,-3.64446321361811,3.64446321361811,0.0016222453990629095,0.357796140994175,2500.7076414463027,2244.3367440372654,-3.7168547832338845,3.7168547832338845,0.0016533657316640628,0.357796140994175,10309.175387727482,2243.623548294545,-3.68065899842577,3.68065899842577,0.0016378107540942896,0.357796140994175
local_box,8,3.5,10.25,False,-1.0,1.0,1.4142135623730951,0.991243822314256,24690288.0,24346697.832315948,76757.5203560836,1.0109252619449187,317.18973879523315,4032.0,0.5315440920181248,True,,0.0,2245.644805750815,-2.6902114230701955,2.6902114230701955,0.001196534948093163,0.35818815905798645,18269.775005248273,2243.977940290131,-2.5768754753107714,2.5768754753107714,0.0011470343199405902,0.35818815905798645,2544.6212984849117,2245.412644087535,-2.640954732964019,2.640954732964019,0.0011747739174678333,0.35818815905798645,10407.198151866593,2244.6952921888333,-2.6089151041373952,2.6089151041373952,0.0011609087437610458,0.35818815905798645
local_box,9,3.5,11.25,False,-1.0,2.0,2.23606797749979,0.9918398922923377,24719386.0,24361338.36304772,76815.62461173149,1.011507907368231,317.1404058247701,4086.0,0.5252701289647961,True,,0.0,2246.943129453226,-1.3918877206592697,1.3918877206592697,0.0006190748754199658,0.3584035503679061,18360.54409834698,2245.268989282528,-1.2858264829137624,1.2858264829137624,0.0005723548225444293,0.3584035503679061,2594.5751842927075,2246.706552447738,-1.3470463727612696,1.3470463727612696,0.0005992056299138211,0.3584035503679061,10477.559641319844,2245.987770865133,-1.3164364278377434,1.3164364278377434,0.0005857847030969963,0.3584035503679061
local_box,10,4.5,7.25,False,0.0,-2.0,2.0,0.9900226647572551,24673378.0,24316704.04735945,76754.77795154648,1.0114751735985286,316.810297630071,4419.0,0.48658069013593586,True,,0.0,2246.870277972789,-1.4647392010961084,1.4647392010961084,0.0006514772887081828,0.35774681280694476,19036.54287530187,2245.1313128107804,-1.4235029546612168,1.4235029546612168,0.0006336382022248604,0.35774681280694476,2924.8160562633225,2246.603099564375,-1.4504992561242034,1.4504992561242034,0.000645224498599698,0.35774681280694476,10980.679465782598,2245.8672061875777,-1.4370011053929375,1.4370011053929375,0.0006394332822096667,0.35774681280694476
local_box,11,4.5,8.25,False,0.0,-1.0,1.0,0.9931152116372765,24757261.0,24392662.457112122,77021.07501446086,1.0117523983297885,316.701142544847,4543.0,0.4721738120134774,True,,0.0,2247.488050506482,-0.8469666674031942,0.8469666674031942,0.00037670839129117656,0.35886430202681513,19329.649750830322,2245.727808830767,-0.8270069346745004,0.8270069346745004,0.0003681223039254995,0.35886430202681513,3022.217776307095,2247.2128342583082,-0.8407645621909978,0.8407645621909978,0.00037399667100113945,0.35886430202681513,11175.933763568708,2246.4703215445375,-0.8338857484332038,0.8338857484332038,0.000371060466903889,0.35886430202681513
local_box,12,4.5,9.25,True,0.0,0.0,0.0,0.9949628619784195,24812658.0,24438044.010613825,77183.44059119519,1.01213248171517,316.62288987673907,4626.0,0.4625304984315093,True,,0.0,2248.3350171738853,0.0,0.0,0.0,0.3595319548895429,19585.2023497309,2246.5548157654416,0.0,0.0,0.0,0.3595319548895429,3096.074056478522,2248.0535988204992,0.0,0.0,0.0,0.3595319548895429,11340.63820310471,2247.3042072929707,0.0,0.0,0.0,0.3595319548895429
local_box,13,4.5,10.25,False,0.0,1.0,1.0,0.9960576627255272,24851981.0,24464934.24929818,77279.05557110353,1.0126218320769487,316.5791050175075,4684.0,0.45579179737423026,True,,0.0,2249.4254572066593,1.0904400327740404,1.0904400327740404,0.00048499891005776487,0.35992756375375623,19770.39302384421,2247.6303980326666,1.075582267224945,1.075582267224945,0.00047876965194747537,0.35992756375375623,3150.949667096145,2249.1393657212807,1.0857669007814366,1.0857669007814366,0.00048298087792529186,0.35992756375375623,11460.671345470178,2248.3848818769734,1.080674584002736,1.080674584002736,0.00048087596707901037,0.35992756375375623
local_box,14,4.5,11.25,False,0.0,2.0,2.0,0.9966586589596534,24881361.0,24479695.777573302,77339.19821926163,1.0132070514427798,316.5237853665328,4742.0,0.44905309631695134,True,,0.0,2250.7295283110034,2.3945111371181156,2.3945111371181156,0.001065015275227075,0.36014473517806084,19889.30108453134,2248.924761793165,2.369946027723472,2.369946027723472,0.0010549246388702022,0.36014473517806084,3204.346699165897,2250.4387640649584,2.385165244459131,2.385165244459131,0.0010609912707199556,0.36014473517806084,11546.823891848619,2249.6817629290617,2.377555636091074,2.377555636091074,0.0010579589662918845,0.36014473517806084
local_box,15,5.5,7.25,False,1.0,-2.0,2.23606797749979,0.9917745329376272,24753335.0,24359733.021936048,76933.44826774388,1.0129587450146824,316.6338383424499,4982.0,0.42116881607993495,True,,0.0,2250.1761900011766,1.8411728272913024,1.8411728272913024,0.0008189050178143033,0.35837985427302815,20282.68401442835,2248.3266641335085,1.7718483680669124,1.7718483680669124,0.0007886958090818771,0.35837985427302815,3466.3309572006365,2249.860104183014,1.8065053625145993,1.8065053625145993,0.0008035864284830353,0.35837985427302815,11874.507485814493,2249.0933841582614,1.7891768652907558,1.7891768652907558,0.0007961436015135396,0.35837985427302815
local_box,16,5.5,8.25,False,1.0,-1.0,1.4142135623730951,0.9948878070119134,24838221.0,24436200.52816359,77202.79097053298,1.013250615454621,316.5196519577962,5125.0,0.4045544324387127,True,,0.0,2250.826604115971,2.4915869420856325,2.4915869420856325,0.0011081920279022786,0.3595048333140401,20620.559419048368,2248.9521522912023,2.397336525760693,2.397336525760693,0.0010671168622003453,0.3595048333140401,3582.264039271836,2250.500968849305,2.4473700288058353,2.4473700288058353,0.001088661778389053,0.3595048333140401,12101.411729160101,2249.7265605702537,2.4223532772830367,2.4223532772830367,0.001077892912504678,0.3595048333140401
local_box,17,5.5,9.25,False,1.0,0.0,1.0,0.9967459963733452,24894213.0,24481840.93860507,77369.50256674607,1.0136406078538491,316.42753444724264,5221.0,0.39340072034390616,True,,0.0,2251.695659592301,3.360642418415864,3.360642418415864,0.0014947249376741586,0.36017629447691507,20918.51098428943,2249.797668301487,3.242852536045575,3.242852536045575,0.0014434780372544246,0.36017629447691507,3667.518196111491,2251.3628960605015,3.309297240002252,3.309297240002252,0.0014720722147098992,0.36017629447691507,12293.01459020046,2250.580282180995,3.276074888024141,3.276074888024141,0.0014577798935242478,0.36017629447691507
local_box,18,5.5,10.25,False,1.0,1.0,1.4142135623730951,0.9978488539838134,24933873.0,24508929.068074014,77467.42966291319,1.014132876377189,316.37720748862586,5289.0,0.38550017427675143,True,,0.0,2252.792607878409,4.457590704523682,4.457590704523682,0.0019826185468243916,0.36057481470794245,21133.77642697398,2250.8772043053045,4.322388539862914,4.322388539862914,0.0019240076002286185,0.36057481470794245,3731.119811245244,2252.4544477657173,4.400848945218058,4.400848945218058,0.00195762634286259,0.36057481470794245,12432.448119109611,2251.665826035511,4.361618742540486,4.361618742540486,0.0019408225768394523,0.36057481470794245
local_box,19,5.5,11.25,False,1.0,2.0,2.23606797749979,0.9984529925141821,24963446.0,24523767.77669104,77528.61428502545,1.0147207530557933,316.3189230563582,5353.0,0.3780643662135471,True,,0.0,2254.1026057994204,5.767588625535154,5.767588625535154,0.0025652710034223033,0.3607931216084977,21285.27032530969,2252.174639250742,5.619823485300458,5.619823485300458,0.002501529651474666,0.3607931216084977,3790.516843314996,2253.759270264357,5.705671443857682,5.705671443857682,0.0025380495584497245,0.3607931216084977,12537.893584312344,2252.9669547575495,5.6627474645788425,5.6627474645788425,0.002519795693970601,0.3607931216084977
local_box,20,6.5,7.25,False,2.0,-2.0,2.8284271247461903,0.9922617184290657,24797486.0,24371699.157493543,76992.88379934058,1.0142663647657721,316.54482797411833,5468.0,0.36470314859997677,True,,0.0,2253.090009271461,4.754992097575723,4.754992097575723,0.0021148948271742254,0.3585558999134483,21482.54745121133,2251.1320327480717,4.577216982630034,4.577216982630034,0.002037438370303239,0.3585558999134483,3948.7752975096773,2252.7301073861645,4.6765085656652445,4.6765085656652445,0.0020802478055322606,0.3585558999134483,12715.661374360503,2251.931070067118,4.626862774147412,4.626862774147412,0.002058850225586851,0.3585558999134483
local_box,21,6.5,8.25,False,2.0,-1.0,2.23606797749979,0.9953838639901127,24883230.0,24448384.563094202,77264.5975813873,1.014579872564505,316.42414933102185,5632.0,0.3456488904380156,True,,0.0,2253.788644456124,5.453627282238813,5.453627282238813,0.00242562929482543,0.3596840846873853,21883.600838048027,2251.8003708998835,5.245555134441929,5.245555134441929,0.002334933070687026,0.3596840846873853,4085.7083795808767,2253.4174301395337,5.363831319034489,5.363831319034489,0.0023859890715456095,0.3596840846873853,12984.654608814451,2252.6089005197086,5.304693226737982,5.304693226737982,0.0023604695837453364,0.3596840846873853
local_box,22,6.5,9.25,False,2.0,0.0,2.0,0.9972478775388744,24939700.0,24494168.02585626,77431.9159141109,1.014980711842206,316.33167973043186,5737.0,0.33344951783432086,True,,0.0,2254.6818739608793,6.346856786994067,6.346856786994067,0.0028229141736056517,0.36035765043425927,22217.571323818258,2252.6670300371497,6.112214271708126,6.112214271708126,0.002720705601668386,0.36035765043425927,4179.962536420531,2254.3028058802515,6.24920705975228,6.24920705975228,0.0027798300997054037,0.36035765043425927,13198.766930119395,2253.4849179587004,6.180710665729748,6.180710665729748,0.00275027770858616,0.36035765043425927
local_box,23,6.5,10.25,False,2.0,1.0,2.23606797749979,0.9983524394975447,24979675.0,24521298.01712524,77529.84301027801,1.0154823287528134,316.28205430358594,5815.0,0.32438712675729053,True,,0.0,2255.799655799723,7.464638625837779,7.464638625837779,0.0033200739964548026,0.3607567865355793,22470.280031040173,2253.7641490421556,7.2093332767140055,7.2093332767140055,0.0032090618159511305,0.3607567865355793,4254.087503148634,2255.4142923842255,7.360693563726272,7.360693563726272,0.003274251809471204,0.3607567865355793,13362.183767094404,2254.5892207131906,7.2850134202199115,7.2850134202199115,0.0032416676819179728,0.3607567865355793
local_box,24,6.5,11.25,False,2.0,2.0,2.8284271247461903,0.9989591301166225,25009461.0,24536199.409545425,77591.5177734764,1.0160751374645807,316.22270208938727,5888.0,0.3159056581851981,True,,0.0,2257.120647278062,8.785630104176562,8.785630104176562,0.003907616096830593,0.36097601563948367,22638.6720327535,2255.0711319325264,8.516316167084824,8.516316167084824,0.003790833905908128,0.36097601563948367,4322.484535218387,2256.7293258095165,8.675726989017221,8.675726989017221,0.0038592171439191534,0.36097601563948367,13480.578283985944,2255.9002288710217,8.596021578051023,8.596021578051023,0.003825036926534085,0.36097601563948367
