method,fixed_axis,fixed_value,varying_axis,varying_start,varying_end,delta
none,etcone_max,7.25,ptcone_max,2.5,3.5,6.796773544963344
none,etcone_max,7.25,ptcone_max,3.5,4.5,1.7596666706963333
none,etcone_max,7.25,ptcone_max,4.5,5.5,0.27907690437450583
none,etcone_max,7.25,ptcone_max,5.5,6.5,0.006689692789223045
none,etcone_max,8.25,ptcone_max,2.5,3.5,6.785176768062229
none,etcone_max,8.25,ptcone_max,3.5,4.5,1.7544302970254648
none,etcone_max,8.25,ptcone_max,4.5,5.5,0.27401027524729216
none,etcone_max,8.25,ptcone_max,5.5,6.5,0.02054433961302493
none,etcone_max,9.25,ptcone_max,2.5,3.5,6.787305091253074
none,etcone_max,9.25,ptcone_max,3.5,4.5,1.7460533081380163
none,etcone_max,9.25,ptcone_max,4.5,5.5,0.27924345392875694
none,etcone_max,9.25,ptcone_max,5.5,6.5,0.021151641959022527
none,etcone_max,10.25,ptcone_max,2.5,3.5,6.779604135108912
none,etcone_max,10.25,ptcone_max,3.5,4.5,1.7459593850239798
none,etcone_max,10.25,ptcone_max,4.5,5.5,0.27913476106004964
none,etcone_max,10.25,ptcone_max,5.5,6.5,0.01043556105969401
none,etcone_max,11.25,ptcone_max,2.5,3.5,6.773988986764834
none,etcone_max,11.25,ptcone_max,3.5,4.5,1.748381259366397
none,etcone_max,11.25,ptcone_max,4.5,5.5,0.2769199628282877
none,etcone_max,11.25,ptcone_max,5.5,6.5,0.011729938263215445
none,ptcone_max,2.5,etcone_max,7.25,8.25,-0.7023457628929464
none,ptcone_max,2.5,etcone_max,8.25,9.25,-0.5423908590551036
none,ptcone_max,2.5,etcone_max,9.25,10.25,-0.40283577018408323
none,ptcone_max,2.5,etcone_max,10.25,11.25,-0.32259692174602606
none,ptcone_max,3.5,etcone_max,7.25,8.25,-0.7139425397940613
none,ptcone_max,3.5,etcone_max,8.25,9.25,-0.5402625358642581
none,ptcone_max,3.5,etcone_max,9.25,10.25,-0.410536726328246
none,ptcone_max,3.5,etcone_max,10.25,11.25,-0.3282120700901032
none,ptcone_max,4.5,etcone_max,7.25,8.25,-0.7191789134649298
none,ptcone_max,4.5,etcone_max,8.25,9.25,-0.5486395247517066
none,ptcone_max,4.5,etcone_max,9.25,10.25,-0.41063064944228245
none,ptcone_max,4.5,etcone_max,10.25,11.25,-0.3257901957476861
none,ptcone_max,5.5,etcone_max,7.25,8.25,-0.7242455425921435
none,ptcone_max,5.5,etcone_max,8.25,9.25,-0.5434063460702419
none,ptcone_max,5.5,etcone_max,9.25,10.25,-0.41073934231098974
none,ptcone_max,5.5,etcone_max,10.25,11.25,-0.32800499397944805
none,ptcone_max,6.5,etcone_max,7.25,8.25,-0.7103908957683416
none,ptcone_max,6.5,etcone_max,8.25,9.25,-0.5427990437242443
none,ptcone_max,6.5,etcone_max,9.25,10.25,-0.42145542321031826
none,ptcone_max,6.5,etcone_max,10.25,11.25,-0.3267106167759266
wrong_flavour,etcone_max,7.25,ptcone_max,2.5,3.5,6.555604691238386
wrong_flavour,etcone_max,7.25,ptcone_max,3.5,4.5,1.5385794759299642
wrong_flavour,etcone_max,7.25,ptcone_max,4.5,5.5,0.083413228610425
wrong_flavour,etcone_max,7.25,ptcone_max,5.5,6.5,-0.1754966605080881
wrong_flavour,etcone_max,8.25,ptcone_max,2.5,3.5,6.534670740246838
wrong_flavour,etcone_max,8.25,ptcone_max,3.5,4.5,1.5263467508207214
wrong_flavour,etcone_max,8.25,ptcone_max,4.5,5.5,0.07164372820079734
wrong_flavour,etcone_max,8.25,ptcone_max,5.5,6.5,-0.16893262522353325
wrong_flavour,etcone_max,9.25,ptcone_max,2.5,3.5,6.532238361201053
wrong_flavour,etcone_max,9.25,ptcone_max,3.5,4.5,1.5117810823012405
wrong_flavour,etcone_max,9.25,ptcone_max,4.5,5.5,0.06973245164135733
wrong_flavour,etcone_max,9.25,ptcone_max,5.5,6.5,-0.17390473133764317
wrong_flavour,etcone_max,10.25,ptcone_max,2.5,3.5,6.5201320413257235
wrong_flavour,etcone_max,10.25,ptcone_max,3.5,4.5,1.5069745578507536
wrong_flavour,etcone_max,10.25,ptcone_max,4.5,5.5,0.0654517670536734
wrong_flavour,etcone_max,10.25,ptcone_max,5.5,6.5,-0.18984841211658932
wrong_flavour,etcone_max,11.25,ptcone_max,2.5,3.5,6.511609160079388
wrong_flavour,etcone_max,11.25,ptcone_max,3.5,4.5,1.506139645372059
wrong_flavour,etcone_max,11.25,ptcone_max,4.5,5.5,0.05893562499977634
wrong_flavour,etcone_max,11.25,ptcone_max,5.5,6.5,-0.19176896539056543
wrong_flavour,ptcone_max,2.5,etcone_max,7.25,8.25,-0.7388810528836984
wrong_flavour,ptcone_max,2.5,etcone_max,8.25,9.25,-0.5730579246478555
wrong_flavour,ptcone_max,2.5,etcone_max,9.25,10.25,-0.4241352886874665
wrong_flavour,ptcone_max,2.5,etcone_max,10.25,11.25,-0.3400227587849258
wrong_flavour,ptcone_max,3.5,etcone_max,7.25,8.25,-0.7598150038752465
wrong_flavour,ptcone_max,3.5,etcone_max,8.25,9.25,-0.5754903036936412
wrong_flavour,ptcone_max,3.5,etcone_max,9.25,10.25,-0.4362416085627956
wrong_flavour,ptcone_max,3.5,etcone_max,10.25,11.25,-0.34854564003126143
wrong_flavour,ptcone_max,4.5,etcone_max,7.25,8.25,-0.7720477289844894
wrong_flavour,ptcone_max,4.5,etcone_max,8.25,9.25,-0.590055972213122
wrong_flavour,ptcone_max,4.5,etcone_max,9.25,10.25,-0.4410481330132825
wrong_flavour,ptcone_max,4.5,etcone_max,10.25,11.25,-0.34938055250995603
wrong_flavour,ptcone_max,5.5,etcone_max,7.25,8.25,-0.783817229394117
wrong_flavour,ptcone_max,5.5,etcone_max,8.25,9.25,-0.591967248772562
wrong_flavour,ptcone_max,5.5,etcone_max,9.25,10.25,-0.44532881760096643
wrong_flavour,ptcone_max,5.5,etcone_max,10.25,11.25,-0.3558966945638531
wrong_flavour,ptcone_max,6.5,etcone_max,7.25,8.25,-0.7772531941095622
wrong_flavour,ptcone_max,6.5,etcone_max,8.25,9.25,-0.5969393548866719
wrong_flavour,ptcone_max,6.5,etcone_max,9.25,10.25,-0.4612724983799126
wrong_flavour,ptcone_max,6.5,etcone_max,10.25,11.25,-0.3578172478378292
wrong_charge,etcone_max,7.25,ptcone_max,2.5,3.5,6.535557637018428
wrong_charge,etcone_max,7.25,ptcone_max,3.5,4.5,1.566065150873328
wrong_charge,etcone_max,7.25,ptcone_max,4.5,5.5,0.10723339586684233
wrong_charge,etcone_max,7.25,ptcone_max,5.5,6.5,-0.13559669138157915
wrong_charge,etcone_max,8.25,ptcone_max,2.5,3.5,6.516863639840267
wrong_charge,etcone_max,8.25,ptcone_max,3.5,4.5,1.55323451339018
wrong_charge,etcone_max,8.25,ptcone_max,4.5,5.5,0.09207676857158731
wrong_charge,etcone_max,8.25,ptcone_max,5.5,6.5,-0.12921576397866374
wrong_charge,etcone_max,9.25,ptcone_max,2.5,3.5,6.512700269148809
wrong_charge,etcone_max,9.25,ptcone_max,3.5,4.5,1.5412466611001037
wrong_charge,etcone_max,9.25,ptcone_max,4.5,5.5,0.09201233689509536
wrong_charge,etcone_max,9.25,ptcone_max,5.5,6.5,-0.13562400285854892
wrong_charge,etcone_max,10.25,ptcone_max,2.5,3.5,6.499246444138862
wrong_charge,etcone_max,10.25,ptcone_max,3.5,4.5,1.5366461047174198
wrong_charge,etcone_max,10.25,ptcone_max,4.5,5.5,0.08728305610338793
wrong_charge,etcone_max,10.25,ptcone_max,5.5,6.5,-0.14956400261826275
wrong_charge,etcone_max,11.25,ptcone_max,2.5,3.5,6.489701657241312
wrong_charge,etcone_max,11.25,ptcone_max,3.5,4.5,1.5354153709527054
wrong_charge,etcone_max,11.25,ptcone_max,4.5,5.5,0.08172387793092639
wrong_charge,etcone_max,11.25,ptcone_max,5.5,6.5,-0.1519380178965548
wrong_charge,ptcone_max,2.5,etcone_max,7.25,8.25,-0.7460337143293145
wrong_charge,ptcone_max,2.5,etcone_max,8.25,9.25,-0.5741843875894119
wrong_charge,ptcone_max,2.5,etcone_max,9.25,10.25,-0.42335769868532225
wrong_charge,ptcone_max,2.5,etcone_max,10.25,11.25,-0.3324212295565303
wrong_charge,ptcone_max,3.5,etcone_max,7.25,8.25,-0.7647277115074758
wrong_charge,ptcone_max,3.5,etcone_max,8.25,9.25,-0.57834775828087
wrong_charge,ptcone_max,3.5,etcone_max,9.25,10.25,-0.436811523695269
wrong_charge,ptcone_max,3.5,etcone_max,10.25,11.25,-0.3419660164540801
wrong_charge,ptcone_max,4.5,etcone_max,7.25,8.25,-0.7775583489906239
wrong_charge,ptcone_max,4.5,etcone_max,8.25,9.25,-0.5903356105709463
wrong_charge,ptcone_max,4.5,etcone_max,9.25,10.25,-0.44141208007795285
wrong_charge,ptcone_max,4.5,etcone_max,10.25,11.25,-0.3431967502187945
wrong_charge,ptcone_max,5.5,etcone_max,7.25,8.25,-0.792714976285879
wrong_charge,ptcone_max,5.5,etcone_max,8.25,9.25,-0.5904000422474383
wrong_charge,ptcone_max,5.5,etcone_max,9.25,10.25,-0.4461413608696603
wrong_charge,ptcone_max,5.5,etcone_max,10.25,11.25,-0.348755928391256
wrong_charge,ptcone_max,6.5,etcone_max,7.25,8.25,-0.7863340488829635
wrong_charge,ptcone_max,6.5,etcone_max,8.25,9.25,-0.5968082811273234
wrong_charge,ptcone_max,6.5,etcone_max,9.25,10.25,-0.4600813606293741
wrong_charge,ptcone_max,6.5,etcone_max,10.25,11.25,-0.3511299436695481
both_average,etcone_max,7.25,ptcone_max,2.5,3.5,6.54558116412818
both_average,etcone_max,7.25,ptcone_max,3.5,4.5,1.5523223134018735
both_average,etcone_max,7.25,ptcone_max,4.5,5.5,0.09532331223817891
both_average,etcone_max,7.25,ptcone_max,5.5,6.5,-0.15554667594460625
both_average,etcone_max,8.25,ptcone_max,2.5,3.5,6.525767190043098
both_average,etcone_max,8.25,ptcone_max,3.5,4.5,1.5397906321054506
both_average,etcone_max,8.25,ptcone_max,4.5,5.5,0.0818602483864197
both_average,etcone_max,8.25,ptcone_max,5.5,6.5,-0.14907419460132587
both_average,etcone_max,9.25,ptcone_max,2.5,3.5,6.522469315175385
both_average,etcone_max,9.25,ptcone_max,3.5,4.5,1.5265138717004447
both_average,etcone_max,9.25,ptcone_max,4.5,5.5,0.08087239426822634
both_average,etcone_max,9.25,ptcone_max,5.5,6.5,-0.15476436709786867
both_average,etcone_max,10.25,ptcone_max,2.5,3.5,6.509689242731838
both_average,etcone_max,10.25,ptcone_max,3.5,4.5,1.5218103312840867
both_average,etcone_max,10.25,ptcone_max,4.5,5.5,0.07636741157875804
both_average,etcone_max,10.25,ptcone_max,5.5,6.5,-0.1697062073676534
both_average,etcone_max,11.25,ptcone_max,2.5,3.5,6.50065540866035
both_average,etcone_max,11.25,ptcone_max,3.5,4.5,1.5207775081621548
both_average,etcone_max,11.25,ptcone_max,4.5,5.5,0.07032975146557874
both_average,etcone_max,11.25,ptcone_max,5.5,6.5,-0.17185349164356012
both_average,ptcone_max,2.5,etcone_max,7.25,8.25,-0.7424573836060517
both_average,ptcone_max,2.5,etcone_max,8.25,9.25,-0.5736211561193159
both_average,ptcone_max,2.5,etcone_max,9.25,10.25,-0.42374649368593964
both_average,ptcone_max,2.5,etcone_max,10.25,11.25,-0.33622199417095544
both_average,ptcone_max,3.5,etcone_max,7.25,8.25,-0.7622713576911337
both_average,ptcone_max,3.5,etcone_max,8.25,9.25,-0.5769190309870282
both_average,ptcone_max,3.5,etcone_max,9.25,10.25,-0.43652656612948704
both_average,ptcone_max,3.5,etcone_max,10.25,11.25,-0.3452558282424434
both_average,ptcone_max,4.5,etcone_max,7.25,8.25,-0.7748030389875566
both_average,ptcone_max,4.5,etcone_max,8.25,9.25,-0.5901957913920342
both_average,ptcone_max,4.5,etcone_max,9.25,10.25,-0.44123010654584505
both_average,ptcone_max,4.5,etcone_max,10.25,11.25,-0.34628865136437526
both_average,ptcone_max,5.5,etcone_max,7.25,8.25,-0.7882661028393159
both_average,ptcone_max,5.5,etcone_max,8.25,9.25,-0.5911836455102275
both_average,ptcone_max,5.5,etcone_max,9.25,10.25,-0.44573508923531335
both_average,ptcone_max,5.5,etcone_max,10.25,11.25,-0.35232631147755455
both_average,ptcone_max,6.5,etcone_max,7.25,8.25,-0.7817936214960355
both_average,ptcone_max,6.5,etcone_max,8.25,9.25,-0.5968738180067703
both_average,ptcone_max,6.5,etcone_max,9.25,10.25,-0.4606769295050981
both_average,ptcone_max,6.5,etcone_max,10.25,11.25,-0.35447359575346127
